"filename", "language", "C#", "comment", "blank", "total"
"d:\Development\Moba Trainer\Assets\Scripts\Abilities\Ability.cs", "C#", 45, 3, 17, 65
"d:\Development\Moba Trainer\Assets\Scripts\Abilities\Aphelios\Blink.cs", "C#", 45, 4, 13, 62
"d:\Development\Moba Trainer\Assets\Scripts\Abilities\Aphelios\Fireball.cs", "C#", 87, 0, 30, 117
"d:\Development\Moba Trainer\Assets\Scripts\Abilities\Aphelios\Fireburst.cs", "C#", 108, 0, 30, 138
"d:\Development\Moba Trainer\Assets\Scripts\ColorScheme.cs", "C#", 16, 1, 5, 22
"d:\Development\Moba Trainer\Assets\Scripts\Cursor.cs", "C#", 22, 2, 5, 29
"d:\Development\Moba Trainer\Assets\Scripts\EnemyController.cs", "C#", 201, 0, 48, 249
"d:\Development\Moba Trainer\Assets\Scripts\EnemyManager.cs", "C#", 133, 5, 39, 177
"d:\Development\Moba Trainer\Assets\Scripts\FreeMatrix\Utility\Convert2D.cs", "C#", 64, 76, 14, 154
"d:\Development\Moba Trainer\Assets\Scripts\FreeMatrix\Utility\Time.cs", "C#", 115, 19, 28, 162
"d:\Development\Moba Trainer\Assets\Scripts\FreeMatrix\Utility\Tween2D.cs", "C#", 37, 35, 7, 79
"d:\Development\Moba Trainer\Assets\Scripts\Hero.cs", "C#", 17, 0, 4, 21
"d:\Development\Moba Trainer\Assets\Scripts\HeroManager.cs", "C#", 126, 6, 38, 170
"d:\Development\Moba Trainer\Assets\Scripts\Initialize.cs", "C#", 15, 1, 5, 21
"d:\Development\Moba Trainer\Assets\Scripts\Keybind.cs", "C#", 34, 1, 10, 45
"d:\Development\Moba Trainer\Assets\Scripts\MinionController.cs", "C#", 55, 2, 28, 85
"d:\Development\Moba Trainer\Assets\Scripts\MinionManager.cs", "C#", 75, 12, 30, 117
"d:\Development\Moba Trainer\Assets\Scripts\Minions\Mage.cs", "C#", 16, 0, 3, 19
"d:\Development\Moba Trainer\Assets\Scripts\Minions\Melee.cs", "C#", 16, 0, 3, 19
"d:\Development\Moba Trainer\Assets\Scripts\Minions\Minion.cs", "C#", 20, 0, 7, 27
"d:\Development\Moba Trainer\Assets\Scripts\PlayerController.cs", "C#", 59, 2, 16, 77
"d:\Development\Moba Trainer\Assets\Scripts\PlayerManager.cs", "C#", 21, 1, 4, 26
"d:\Development\Moba Trainer\Assets\Scripts\Preferences.cs", "C#", 38, 3, 17, 58
"d:\Development\Moba Trainer\Assets\Scripts\ProjectileManager.cs", "C#", 32, 1, 6, 39
"d:\Development\Moba Trainer\Assets\Scripts\Resources.cs", "C#", 68, 5, 23, 96
"d:\Development\Moba Trainer\Assets\Scripts\ReviveManager.cs", "C#", 20, 1, 8, 29
"d:\Development\Moba Trainer\Assets\Scripts\SceneManager.cs", "C#", 69, 1, 21, 91
"d:\Development\Moba Trainer\Assets\Scripts\Score.cs", "C#", 36, 0, 10, 46
"d:\Development\Moba Trainer\Assets\Scripts\Seeker.cs", "C#", 41, 5, 10, 56
"Total", "-", 1631, 186, 479, 2296